EDA_1646665728.000000,EDA_id,TEMP_1646665728.000000,BVP_1646665728.00,HR_1646665738.000000
0.121719,S31,32.39,-335.67,76.25
0.121719,S31,32.39,-360.4,76.5
0.123,S31,32.39,-379.0,76.73
0.123,S31,32.41,-388.07,76.98
0.123,S31,32.41,-386.22,77.25
0.124282,S31,32.41,-374.56,77.55
0.125563,S31,32.41,-356.21,77.78
0.128125,S31,32.39,-335.06,78.0
0.128125,S31,32.39,-314.42,78.22
0.129407,S31,32.39,-296.26,78.55
0.128125,S31,32.39,-281.23,78.93
0.130688,S31,32.43,-269.21,79.28
0.129407,S31,32.43,-259.75,79.62
0.129407,S31,32.43,-252.02,79.93
0.129407,S31,32.43,-244.68,80.12
0.130688,S31,32.41,-235.66,80.23
0.129407,S31,32.41,-222.64,80.5
0.130688,S31,32.41,-203.82,80.68
0.130688,S31,32.41,-178.7,80.92
0.131969,S31,32.43,-148.52,81.13
0.131969,S31,32.43,-115.8,81.35
0.129407,S31,32.43,-83.55,81.42
0.130688,S31,32.43,-54.21,81.38
0.130688,S31,32.41,-29.03,81.35
0.129407,S31,32.41,-8.03,81.3
0.129407,S31,32.41,9.59,81.23
0.129407,S31,32.41,24.88,81.17
0.130688,S31,32.43,38.62,80.97
0.131969,S31,32.43,51.09,80.77
0.13325,S31,32.43,62.2,80.58
0.13325,S31,32.43,71.65,80.43
0.131969,S31,32.43,79.18,80.3
0.13325,S31,32.43,84.68,80.22
0.13325,S31,32.43,88.28,80.17
0.134532,S31,32.43,90.22,80.12
0.135813,S31,32.41,90.85,80.07
0.134532,S31,32.41,90.59,80.03
0.135813,S31,32.41,89.88,80.0
0.135813,S31,32.41,89.15,79.98
0.134532,S31,32.41,88.8,79.97
0.134532,S31,32.41,89.03,79.93
0.134532,S31,32.41,89.78,79.9
0.134532,S31,32.41,90.68,79.85
0.135813,S31,32.39,91.16,79.78
0.134532,S31,32.39,90.52,79.72
0.135813,S31,32.39,88.27,79.63
0.137094,S31,32.39,84.25,79.55
0.138375,S31,32.41,78.64,79.42
0.134532,S31,32.41,71.95,79.28
0.135813,S31,32.41,64.83,79.15
0.135813,S31,32.41,57.89,79.05
0.137094,S31,32.43,51.51,78.95
0.135813,S31,32.43,45.76,78.87
0.135813,S31,32.43,40.39,78.83
0.137094,S31,32.43,34.97,78.83
0.137094,S31,32.41,29.01,78.78
0.137094,S31,32.41,22.17,78.75
0.137094,S31,32.41,14.45,78.68
0.134532,S31,32.41,6.23,78.58
0.135813,S31,32.41,-1.85,78.47
0.135813,S31,32.41,-9.16,78.33
0.135813,S31,32.41,-15.31,78.23
0.138375,S31,32.41,-20.32,78.15
0.135813,S31,32.41,-24.63,78.07
0.137094,S31,32.41,-28.93,78.0
0.137094,S31,32.41,-34.0,77.93
0.137094,S31,32.41,-40.46,77.92
0.137094,S31,32.41,-48.4,77.88
0.135813,S31,32.41,-57.31,77.83
0.135813,S31,32.41,-65.92,77.78
0.135813,S31,32.41,-72.43,77.7
0.134532,S31,32.41,-74.89,77.6
0.134532,S31,32.41,-71.72,77.5
0.135813,S31,32.41,-62.35,77.4
0.135813,S31,32.41,-47.34,77.32
